SampleID,qPCR16S
1171F,184698.0799
1171J,9155990.304
1171K,3233901.093
1171L,684523.6448
1171M,92935277.53
1171P,38978.98498
1171Q,14439878.07
1171R,67626811.35
1171S,1548349.57
1171T,65236275.68
1171V,28906974.84
1173C,37499519.76
1173F,1437066.964
1173G,13116534.54
1173K,11447620.9
1173N,28021598.35
1173P,74770687.37
1173Q,4724700.195
1173R,121020431.4
1173S,211530548.5
1174D,11203473.66
1174E,32057555.1
1174G,89673021.33
1174I,10125509.91
1174J,9927942.16
1174K,11617988.96
1174M,3131330.91
1176A,115295318.7
1176B,29118336.77
1176C,4828686.995
1176D,6053842.8
1176E,3731252.708
1176F,4001490.871
1176G,17700025.37
1176H,269477.9717
1176I,1414178.517
1176J,0.0
1176K,7332477.621
1176L,14888162.31
1176M,13333477.47
1176N,11466441.01
1176O,58174998.48
1176P,27401091.58
1176Q,101637632.4
1176R,51705877.29
1176S,26500425.19
1176T,19188088.0
1176U,3033080.465
1176V,10075793.18
1176W,29796366.34
1176X,15248214.95
1176Y,32629.24878
1176Z,47493961.9
1179A,67798836.78
1179B,27409935.14
1179C,44921285.71
1179D,2292823.033
1179E,2234154.547
1179F,2690192.396
1179G,1575718.069
1179H,408475.1252
1179I,27616926.68
1179J,168343.4625
1179K,43572.9993
1179L,19748911.8
1179M,27829152.85
1179N,8534178.881
1179O,80169744.73
1179P,14118736.76
1179Q,13789226.09
1179R,28726988.99
1179S,19519479.21
1179T,8922251.816
1179U,20094142.56
1179V,8754900.602
1179W,205101775.8
1179X,44792015.59
1179Y,36726985.15
1186A,278478264.2
1186B,14716011.97
1186C,7472246.343
1186D,36080.6461
1186E,46060.4081
1186G,13914901.18
1186H,7989602.564
1186I,927148.6742
1186K,1467839.012
1186M,3325025.436
1186N,1062147.513
1186P,1533419.987
1186R,32279036.43
1186S,42482790.06
1186U,125042971.3
1186V,96927209.44
1189A,2763606.379
1189B,81038636.36
1189C,31935019.65
1189D,29997464.71
1189E,35366324.02
1191A,33259466.14
1191D,74736238.74
1191E,39739541.23
1191F,14721448.07
1191G,11068143.97
1191Q,360674.4865
1191R,26443306.12
1191T,28275859.58
1191U,106097627.5
1191V,12161292.69
1191W,471373449.3
1191X,26165891.7
1191Y,61642.50579
1191Z,4536097926.0
1192A,190631968.8
1192B,42633419.72
1192C,3001705.249
1192D,57813198.53
1192E,59352954.62
1192F,18191721.78
1192G,69175437.52
1192H,2516011.991
1192K,16680340.67
1192L,138689846.0
1192M,104589341.8
1192N,60405550.84
1192O,471179333.3
1192P,193797497.2
1192Q,47418399.24
1192S,62886671.26
1192T,1272320173.0
1193A,28249538.08
1193B,20347151.86
1193C,16379875.49
1193D,5344148.062
1193E,3292963.76
1193F,11180446.44
1193G,39663245.31
1193H,7426901.208
1193J,2948696.496
1193K,1907672.295
1193M,6414460.966
1193N,47308897.27
1195C,27194572.37
1195D,48447074.43
1195DD,14963274.45
1195E,108083476.7
1195EE,13274314.13
1195F,3072392.822
1195FF,21208109.03
1195GG,4549.339667
1195R,138483400.0
1195S,41250524.59
1195T,13661117.21
1195W,154969446.6
1195X,1830001.629
1195Y,3170096.147
1196A,107410121.6
1196B,27155884.42
1196C,21268632.26
1196R,21047622.22
1197B,81717728.18
1197C,65775206.03
1197J,28202546.67
1200A,4195755.208
1200B,11207955.43
1201A,34658956.88
1201B,10035569.22
1201C,49231633.33
1202A,6000415.893
1202P,40237307.14
1202Q,51978086.25
1202S,223295390.8
1202U,115935765.4
1202V,305856807.7
1203A,103206282.5
1203B,76820193.76
1203C,182746035.4
1203D,156186228.4
1203E,11415992.92
1203F,399953.8323
1203G,37254232.14
1203H,18871082.15
1203I,126.8543359
1203J,20711432.88
1203K,14747669.76
1203L,71276650.0
1203M,11837043.8
1203N,106942525.3
1203O,25932445.2
1203P,13.46322404
1203Q,5461647.616
1203R,894.2025793
1203S,4876267.921
1203T,18793.13829
1203V,4824.766988
1203W,0.0
1203X,13035.18055
1203Y,696.5178737
1207A,45765496.93
1207AA,119807405.2
1207B,5180201.071
1207BB,31855148.89
1207C,83816050.87
1207CC,82524075.24
1207D,77250334.62
1207E,194436616.4
1207F,140027553.2
1207G,2366498.986
1207H,16514607.82
1207J,108125302.6
1207L,28269089.91
1207M,35423561.7
1207N,4197535.93
1207P,102999153.7
1207Q,231031.2668
1207R,336523.3135
1207S,4131.64664
1207V,58022.72184
1207W,415564.322
1207X,50668943.03
1207Y,3079938.202
1207Z,39156091.31
1208D,73249644.98
1209G,9253735.832
1209H,261861056.0
1209J,16826512.87
1209K,53654177.64
1210BB,205654131.2
1210CC,236933529.4
1210DD,21538015.93
1210EE,278.0780395
1210GG,551960.0827
1210HH,5951225.0
1210II,447345354.3
1210K,66705244.34
1210N,386.0347918
1210O,8.171857441
1210P,14960634.0
1210Q,14130079.8
1210W,18771026.21
1210X,5719335.505
1210Y,4368996.158
1220E,7511481.308
1220H,2259204.63
1221A,12658443.47
1221H,1623012.174
1221I,19285754.39
1221Q,38687118.97
1221T,93916450.7
1221U,167857739.8
1221V,7705073.424
1222A,58500844.2
1222B,9610864.276
1222C,17667332.76
1222D,36461217.49
1230B,77229242.55
1230C,73001774.65
1230D,53376628.42
1230E,27641691.77
1230F,80157595.96
1230G,33266872.17
1230H,24457959.48
1230I,24715469.47
1230J,1050657.83
1230K,1861643.059
1230L,1295947.642
1230M,1283761.149
1230N,14683231.62
1230O,85652793.5
1230P,2270694.708
1230Q,7117671.569
1230R,1215849.973
1230S,434057.2724
1230U,919530.7781
1230V,1399145.718
1230W,249593980.1
1230X,55234238.37
1230Y,3553465.036
1233AA,31211392.33
1233BB,77338.58036
1233CC,224599.298
1233DD,499499.6957
1233E,231685.7687
1233EE,3599553.47
1233FF,1296720.502
1233K,12866383.06
1233L,7830416.505
1233M,1843830.131
1233W,320329.5188
1233Y,406136.3019
1233Z,5124332.317
1234B,52110380.18
1234C,61140.5897
1234D,503706.8612
1234E,5656284.769
1234F,10819713.15
1234G,19388364.26
1234H,9436570.469
1234I,537035.8899
1234J,50159.61204
1234K,4061311.632
1234L,4342505.026
1234M,531943.19
1234N,11693.82236
1244B,4448113.454
1244C,1063552.9
1244D,39309779.95
1244E,28291445.1
1244F,71044963.61
1244G,40936342.29
1244H,4246304.189
1244I,7561567.568
1244J,3665541.274
1244K,2586397.294
1244L,199694.6786
1244M,1372786.98
1244N,6900738.907
1244O,16763201.68
1244P,10913528.46
1245G,697085.5375
1245J,23209987.47
1245K,40679436.39
1245L,12285497.38
1245M,33443375.0
1245N,1879910.477
1245O,31673367.41
1245P,13502743.35
1246A,66298480.46
1246C,8086627.338
1246D,19620574.96
1246E,3904994.949
1246F,2297713.8
1246G,202050.9855
1246H,19918274.81
1246I,10655088.05
1246J,83070626.98
1246K,185574302.4
1246L,542370514.3
1246M,65740864.35
1247A,68549465.26
1247AA,55006187.44
1247B,174355981.7
1247BB,272170.0383
1247C,56643662.05
1247CC,6002996.003
1247D,6087.752505
1247DD,42560172.22
1247H,12840905.72
1247J,9870764.368
1247K,2134449.507
1247L,8493052.482
1247M,953530.0975
1247N,5940281.436
1247O,142279.118
1247P,5022.812863
1247S,61053.48821
1247T,7658581.101
1247U,11507867.82
1247Z,14055471.04
1249A,720690080.2
1249B,6004.957259
1249F,40623.87163
1249G,365107.2459
1249H,22221800.41
1249L,507609.4022
1249N,1162936.034
1249O,13246154.0
1249P,16961536.85
1250B,17435420.71
1250D,580523.7955
1250G,93445456.95
1250H,206250961.4
1250I,13463750.99
1251A,36633734.39
1251B,65593393.3
1251C,18243547.18
1251D,30245796.35
1251E,82325679.63
1251F,66440602.33
1251G,53467647.9
1251H,59616483.25
1251I,40774753.7
1251K,552.0075018
1252A,100945221.4
1252AA,436583989.4
1252AAA,72808871.47
1252B,35528355.66
1252BB,112761610.9
1252BBB,118598775.1
1252C,4604155.705
1252CC,69805198.45
1252CCC,73636996.42
1252D,1565022.838
1252DD,37957948.05
1252E,46116713.14
1252EE,98952960.13
1252F,22490124.79
1252FF,17608691.88
1252G,777219.9074
1252GG,23592040.27
1252H,16872685.35
1252HH,2966622.816
1252I,181349.4063
1252II,20235143.5
1252JJ,78175295.1
1252K,38368962.47
1252KK,18779741.47
1252L,27938703.07
1252LL,12918795.76
1252M,6998915.668
1252MM,33831530.17
1252N,148289.7185
1252NN,35052347.09
1252O,1403206.781
1252OO,29561715.51
1252P,33901460.24
1252PP,5727978.804
1252Q,45003515.82
1252QQ,1252244.17
1252RR,4394774.718
1252T,119534108.9
1252TT,26117092.85
1252U,22873954.26
1252UU,56450135.8
1252V,35581273.36
1252VV,150157681.4
1252W,32005415.04
1252WW,80184800.0
1252X,68139744.44
1252XX,19631953.82
1252Y,148874037.0
1252YY,71054909.85
1252Z,39140886.48
1252ZZ,39844453.3
1254A,179979710.4
1256C,2805219.423
1256D,211486.9123
1261A,25700892.08
1261B,37277517.47
1261C,163029808.9
1261D,3376897.569
1261E,7367473.946
1261F,69021631.13
1261G,2292.99217
1261L,4523.149081
1261M,628389.3229
1261N,1094513.523
1261O,1276150.034
1261P,97239.60704
1261Q,19878.38552
1261R,19105.96969
1261S,131452.9501
1261U,2310001.015
1261V,4089190.096
1261W,17474643.94
1261X,138447861.2
1261Y,1023621.176
1262E,12478556.96
1262I,4423180.36
1262J,14891950.32
1262K,5712903.208
1262L,14280499.68
1262M,167240516.3
1262N,128072145.5
1271A,184001529.3
1271D,28649707.26
1271E,24935.61726
1271G,9526233.56
1271H,13694884.18
1271I,9499574.882
1271J,3730412.556
1271K,4520722.095
1271M,181349.942
1271O,50751026.25
1271P,26832035.33
1271Q,64933604.65
1271R,101522571.4
1271S,147080233.6
1271T,57650286.61
1273D,194606861.3
1273F,257228300.0
1273G,74051615.82
1276A,9678696.937
1276C,57975014.49
1276D,28459558.87
1276F,390209369.2
1276G,447050473.5
1276H,587928724.8
1276I,507361466.0
1277A,62659576.92
1277B,28917257.52
1277C,29498968.99
1277D,9394475.424
1277E,21994827.55
1277F,32558722.11
1277G,69102210.94
1277H,136671552.6
1277I,67285636.0
1277J,86733121.21
1277K,47336147.32
1277L,76600943.59
1277M,69620839.55
1277O,53542521.39
1277P,136613905.4
1285A,459170111.4
1285B,1544268718.0
1293A,92565997.77
1293B,183245741.5
1293C,46584713.54
1293D,4987282.585
1293E,32532902.55
1293F,34136623.44
1293G,84962226.58
1293H,31154900.48
1294A,20259338.01
1294B,1358633.166
1294C,11914162.39
1294D,0.0
1294E,57093170.59
1294F,52865428.97
1294G,375609576.9
1297A,5735.918802
1297B,47447.80556
1297E,11167102.73
1297F,6672206.79
1297G,53437350.53
1297J,62742.40503
1303A,48830960.72
1303B,81004335.31
1303C,306375.1085
1303D,18571030.17
1303E,81035530.7
1303F,70192286.36
1303G,20589042.44
1303H,18780566.27
1303I,58859394.77
1303J,0.0
1303K,4624241050.0
1312A,55428478.81
1312B,56125219.09
1312C,64119944.81
1312G,59737081.46
1312H,94919065.4
1312I,139980578.3
1312J,143332923.6
1314A,465253697.8
1314B,121586597.8
1314C,35901893.56
1314D,2662006.88
1314E,6090707.212
1314F,7337871.162
1314G,6185475.359
1314H,6968118.32
1314I,16.74233327
1314J,117.117258
1314K,153072.5997
1314L,909993.5049
1314M,1085051.196
1314N,964410.5373
1314O,29183885.5
1314P,1639442.052
1314Q,311276.6168
1314R,8971.506735
1314S,21816270.53
1316A,316018.0469
1316B,670506.1266
1316C,64446.15687
1316D,355328.6956
1316E,688386.4348
1316F,17235128.72
1320A,51630576.32
1320B,43102650.66
1320C,108320828.4
1320D,22676253.38
1320E,12410977.73
1320F,626143.5736
1320G,273160.5346
1320H,151728.4456
1320M,99870698.08
1320N,40667516.88
1320O,19562446.69
1320P,17760.70752
1320Q,23.57797305
1320R,79333477.48
1320S,3727725.189
1320T,44945426.69
1326A,10252868.29
1326C,19269968.25
1326D,71281.9416
1326E,15223310.3
1326F,6834887.441
1326G,20417617.25
1326H,6822972.365
1326I,2796067.885
1326J,57469.25238
1326K,3460.580899
1326L,695.629688
1326N,2812140.12
1326O,378443.2566
1326P,13161.56508
1331A,152805321.5
1331B,170430078.4
1331C,274966.8614
1331D,12641869.93
1331E,17967428.21
1331F,3269888.799
1331G,4073063.296
1331H,81652787.96
1331I,64916965.01
1331J,239403873.9
1331K,504061037.0
1331L,300201641.6
1331M,222206296.3
1331N,139149651.7
1331O,455260.9026
1331P,141697737.7
1333A,10689586.58
1334A,292580810.5
1334B,59970284.06
1334C,42112528.99
1334D,15007020.43
1334E,20885485.99
1334F,27544640.41
1334G,14866442.2
1337A,141441296.5
1337B,73745947.68
1337C,33014325.1
1337D,49971373.77
1337E,6526342.217
1337F,68126668.42
1337G,185174211.4
1337H,83925248.76
1337I,23925295.05
1337J,2295.220533
1337K,1239.613383
1337L,515308.7713
1337M,271293.9172
1338A,151527273.6
1338B,15123776.79
1338C,12083065.48
1338D,844649.8312
1338F,16244.92058
1338G,212790.7689
1338I,138351.9166
1338J,217836.0194
1338K,1190909.708
1338L,765036.1163
1338M,854407.7331
1338N,400630.2865
1338O,49041683.73
1338Q,16132392.36
1343A,6525564.68
1343B,88871405.62
1345A,8584913.762
1345B,982.4943258
1345C,561609.3356
1345D,1817844.195
1345E,40236.87752
1345I,122409.0879
1345K,198505026.2
1351D,63564925.31
1351E,146296588.0
1351F,111989243.0
1351G,88756327.94
1351H,27632685.81
1351I,2267.387407
1351J,6010955.168
1351K,33.41686213
1351L,1922488.442
1352A,22974373.47
1352B,2606322.321
1352C,17444679.56
1354A,132941304.8
1354G,127982705.8
1354H,44258783.91
1354I,24551609.0
1354J,29391433.71
1354K,11431158.51
1354L,36074889.57
1354M,20585304.79
1354N,56297779.87
1354O,223591417.9
1354P,47138121.51
1354Q,33517963.2
1354R,7244307.978
1361A,109058315.5
1361B,119032453.3
1361C,1673848.054
1361D,11102619.0
1361E,39219.53151
1361F,13162168.49
1361G,23565398.01
1361H,5584311.015
1361I,48104.37951
1361J,23134115.1
1361K,4809594.059
1361L,10771285.09
1361M,4563.620709
1361N,17599.96248
1361Q,376.3955638
1361R,6440.904139
1361S,307825.058
1361T,1206.909292
1361U,206550.9436
1361V,4260.903366
1361W,9141381.808
1361X,16220390.31
1361Y,2815166.431
1362A,27064904.87
1362B,133568664.1
1362C,203007844.7
1362D,16528519.53
1362E,15005824.77
1362F,46696074.25
1362G,1135550.762
1362H,50517654.48
1362I,20749246.41
1362J,19460450.73
1362K,441387488.2
1362L,65293632.56
1362M,229739328.7
1362N,133327479.7
1362O,103504215.8
1362P,224891.2839
1362Q,5140.268984
1362R,23024710.17
1362S,766052801.1
1362T,1753624278.0
1362U,698873235.8
1362V,1265379496.0
1364A,8939025.021
1364B,177475757.6
1364C,51797040.31
1364E,3271.92195
1364F,12234554.71
1364G,70497385.22
1364H,27401389.3
1364I,46567073.91
1364J,292475527.8
1364K,55469100.0
1364L,12029295.7
1364M,44458863.18
1364N,22823446.65
1364O,72907512.97
1364P,46864336.34
1364Q,3864735.44
1364R,36653175.85
1364S,23643904.0
1364T,22293862.0
1364U,35785406.37
1364V,87813124.8
1364W,57742915.97
1364X,389573827.2
1366A,134000569.6101265
1366B,119477939.1945945
1366C,198839533.911652
1366D,187069404.193398
1366E,90093210.31873015
1366F,59661809.52190475
1366G,8596080.06021148
1366H,128328510.322414
1366I,95233669.84063494
1366J,172172584.797661
1366K,44441562.259157
1366L,18255679.92883365
1366M,150522858.197606
1366N,65268675.211837605
1366O,23544687.5
1366P,108392705.1141025
1366Q,89889678.61010316
1366R,76447886.28
1366S,212612340.61630148
1366T,222551075.3
1366V,89647639.81
1366W,24565739.9
1366X,230462163.9
1371A,145719635.59661
1371B,43937273.55
1371C,72321133.8798907
1371D,56664.273531595594
1371F,3504.87003769985
1371G,3085.99478439246
1371H,94443.62478111501
1372A,5291955.859
1372B,380090.1927
1372D,363602.0389
1372E,959155.9206
1372I,2356883.333
1372J,1001606.764
1372K,570627.7492
1372L,782466.3748
1372N,65223489.56
1372O,108123785.9
1372P,35664083.62
1372Q,36543451.03
1372R,67786167.4
1372S,445194136.2
1372T,72760174.07
1379F,12153082.99
1379I,6327508.594
1379J,137868.0128
1379K,4823934.63
1379M,255500.7893
1379N,1645364.549
1379O,1420509.547
1380A,24200862.7659574
1380B,30327498.5754986
1380C,1580622.06001622
1380D,1336500.28191249
1380E,1692607.78388278
1380F,1300434.86218777
1380G,1002416.15707434
1380K,743224994.434137
1381A,83384480.29
1381B,82022934.75
1381C,45048320.21
1381D,29173408.26
1381E,5427070.188
1381F,37759209.61
1381G,136162046.4
1381H,127271091.5
1393A,280983946.6833335
1393B,254179487.1897435
1393C,140244659.6245615
1393D,21308167.96
1393E,151156595.4207975
1393F,79509950.39
1393G,36651456.79
1393H,6371997.761097015
1393I,2672008.200897615
1393J,1397651.62720314
1393L,1091848.02080369
1393M,410165.82359556353
1393N,0.072345875880935
1394A,108661856.540084
1394C,39161771.1771177
1394E,49790761.5334633
1394F,1322.99501841305
1394G,55472579.6568627
1394H,4357060.63988095
1394I,10121492.0025592
1394J,13513943.0463576
1394K,81.1455779023223
1394L,202.175291578824
1394M,722.56091455134
1394N,219.471766431033
1398I,167533001.239157
1398J,2187671.27318117
1400A,28956955.26
1400B,80510672.46
1400C,60358282.05
1400D,69419658.23
1400E,281385338.4
1400H,145443238.1
1400I,111957977.7
1400J,89020594.87
1400K,69596506.43
1400M,48757756.58
1400N,24279764.71
1400O,41855357.51
1400P,137041412.3
1400Q,221125523.0
1400R,282029665.1
1400S,167192784.8
1403A,26869530.17
1403B,20829229.17
1403C,27612135.92
1403D,1673176.898
1403E,112084.7076
1403F,4063121.262
1403G,550702.3737
1403H,21150170.47
1403I,48188869.5
1403J,9019.910592
1403K,6812368.155
1403L,2026860.806
1404A,71564924.35
1404D,28802965.84
1404E,7167321.023
1404F,3876958.144
1406A,42925379.73
1406B,207511.5523
1406C,207778.394
1406D,1315054.287
1406E,222475.8077
1406G,613940.7216
1406H,113445.4287
1406I,376519.0099
1406J,182949.91
1406K,193715.5708
1406L,100467.3585
1406N,13573921.81
1406O,50651712.94
1407E,296591351.1
1407X,12135.87805
1407Y,182379872.8
1414A,33739813.88
1414B,34719354.37
1414C,66546227.6
1414D,53579862.18
1414E,39462861.93
1414F,17001506.11
1414G,6615824.093
1414H,17882056.51
1414I,296948.4805
1414J,224443739.6
1419A,239311751.1
1419B,863586862.3
1421B,128263356.2
1426A,2441152.676
1426B,568777.3142
1426C,974986.1506
1426D,1300952.348
1428A,73805508.47
1428AA,62832293.5
1428B,202925475.5
1428BB,14539061.62
1428C,136409867.4
1428CC,355698394.6
1428D,54963817.59
1428DD,56181214.99
1428E,159481979.1
1428EE,31859343.4
1428F,89831384.3
1428G,63103922.62
1428H,13344238.7
1428I,3912437.685
1428K,54977597.22
1428L,18028000.74
1428M,84828652.74
1428N,7747655.983
1428O,14679250.69
1428P,44532386.55
1428Q,99382045.5
1428R,30495691.02
1428S,59886240.33
1428T,185927094.5
1428U,107043370.0
1428V,64342384.49
1428W,99755183.41
1428X,60579391.14
1428Y,86244474.75
1428Z,125048982.8
1431A,45103.804420406
1431C,3587975.56719023
1431E,2257.81846519232
1431F,78790030.5480683
1431G,5472659.16666667
1432A,546012492.303846
1432B,78995.80169
1432C,76486431.18
1432D,245156178.997717
1432E,610782972.677596
1432F,371101683.0
1432G,209639204.5988505
1432H,230784703.2100955
1432I,425017272.4878975
1432J,328356252.7
1432K,825878296.2981479
1432L,792457180.3139346
1432M,393330186.8
1432N,368563563.0
1432O,421137526.00578046
1435B,180395934.4
1435F,152124484.6
1435G,607246375.5
1437AA,620075305.8
1437BB,2720349884.0
1437X,182359719.3
1437Y,238425387.8
1437Z,1018586567.0
1438E,296978840.5
1438F,22935857.37
1438G,8353781995.0
1442A,33232682.998559102
1442B,206504980.3
1442C,62824219.21170535
1442D,368497007.40370345
1442E,292495893.3
1442F,249264380.1084795
1442G,172641998.609869
1442H,32286918.4676139
1442I,16499.32671
1442J,25685164.33
1442K,5812772.65
1442L,7640968.79
1442M,43019459.34979675
1442N,93069085.10819149
1443A,973785566.508595
1443B,800960832.9858999
1443C,345393534.22328746
1443D,185818537.5
1443E,51210115.5577778
1443F,6291730.18292683
1443G,2712076.40424719
1443H,29348861.75057605
1445A,30277254.63
1449G,55730335.35
1460A,285408808.8
1460B,214364015.2045625
1460C,179358054.991409
1460D,143396882.3764705
1460E,2101170.75722983
1460F,59270301.7163505
1460G,1676.19815949471
1460I,3473227.71500314
1460J,11310251.8726592
1460L,13457580.5658057
1460M,197773877.022654
1460N,420319719.298246
1461A,161647616.2800815
1461B,160384323.685749
1461C,73994346.06
1461D,17610826.0416667
1461E,3089720.0
1461F,4912045.79402516
1461G,5188012.61904762
1461H,6716395.18900344
1461I,3261327.53863135
1461L,1940383.83928571
1461N,600313.597470238
1461O,3604397.28441128
1461P,8859993.79432624
1461Q,12211066.4767331
1461R,85898819.1000918
1461S,73792626.7166042
1461T,29547875.0
1461U,53594131.9845857
1461V,47201795.5390335
1461W,28500160.2067183
1461X,36851389.8443898
1462A,179945524.7762375
1462B,11095256.4484127
1462D,2517888.50434311
1462E,9906761.61616162
1462G,39939189.1685736
1462H,58922111.4155251
1468A,11527901.91
1469I,1229656694.0
1469J,42597170.75
1471K,3058085173.0
1472H,15463547.62
1472I,40979779.04
1472J,132901718.9
1472K,3470236950.0
1479A,75306314.4876325
1479B,1262555230.76923
1479C,22234127.5322284
1479D,23279445.2811245
1479E,61434708.6546701
1479F,25.8468326769377
1481A,5.536674703
1481B,52274879.25
1481F,0.0
1481G,0.0
1481P,1092706829.0
1481V,519971420.3
1481W,1268636468.0
1481Y,943322961.0
1481Z,86759524.93
1492A,0.0
1492C,321398142.2
1493A,3971.28561268682
1493B,1439079353.19149
1493C,691801.52120044
1493D,2065178702.94785
1493E,133413136.268344
1493F,74162869.9763593
1493G,620942531.400966
1493H,27071627.8825996
1493K,112485774.227902
1493L,183156599.78425
1493M,439932936.802974
1493N,89677073.015873
1496A,272494913.2
1496H,315978145.5
1511B,1695422513.13131
1511C,1504887752.79421
1511D,690842974.358974
1511F,893950.233477012
1532B,3633330.74034335
1532C,148249350.780533
1532E,208875368.745189
1532F,1317849904.7619
1546A,137736549.603175
1546B,44858923.992674
1546D,44690912.8540305
1546E,7004519.18191057
1546G,3261585.94402673
1546I,53503764.3678161
1546J,138065063.02794
1557AA,72262947.67
1557B,39164449.38
1557BB,26864810.91
1557FF,94879661.8
1557GG,1117463456.0
1557HH,682807837.7
1557S,31576.82869
1560A,401639747.747748
1560B,255765333.333333
1560C,19454824.1308793
1560D,14025106.0897436
1560E,304535.983208237
1560F,22463082.03415
1560G,31902353.4675615
1574A,88787161.4035088
1574B,77293.5089824531
1574C,143873281.72043
1574D,481715510.054845
1574E,2078039.98161765
1574E.2,17251.6215982472
1574F,108749461.30031
1574G,2371251.76886792
1574H,354650291.358025
1574I,316062156.725146
1574K,81038161.1893584
1579C,37825083.33
1579D,170610.3697
1580A,39979616.58015545
1580B,27317087.51196765
1580C,17370012.4685958
1580D,5609007.11802778
1580E,195411.1074
1580F,108702.4623
1580H,532061.5188191525
1580I,296092.550020425
1580J,632484.4784884105
1580K,699719.7235101245
1580L,544369.1264859601
1580M,777934.084977545
1581B,10363683.0218069
1581C,1391135.41666667
1581D,109378622.222222
1583C,66612.5973827031
1583F,3081462.63801262
1588B,23736308.2990398
1588C,3009494.60625674
1588D,1734506.35470826
1588E,899309.262166405
1588F,10735949.9632082
1606A,112056137.7
1606C,32080452.72
1606D,9445166.667
