ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,pident,evalue,HexColor
ASV_1,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida parapsilosis,100,4.13E-145,#F2CECE
ASV_2,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida albicans,100,1.44E-139,#F0C3C3
ASV_3,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida albicans,100,5.14E-139,#F0C3C3
ASV_4,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida parapsilosis,100,4.13E-145,#F2CECE
ASV_5,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,99.798,0,#756EAC
ASV_6,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida metapsilosis,100,1.52E-149,#F2CECE
ASV_7,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium tenuissimum,100,1.95E-148,#BDE1E1
ASV_8,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida parapsilosis,100,4.13E-145,#F2CECE
ASV_9,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida albicans,100,5.14E-139,#F0C3C3
ASV_10,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia sp,100,6.27E-179,#AC6D6D
ASV_11,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida orthopsilosis,100,3.12E-141,#F0C3C3
ASV_12,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida dubliniensis,100,5.14E-139,#C09C9C
ASV_13,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,100,1.63E-164,#64A363
ASV_14,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,99.398,0,#756EAC
ASV_15,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Meyerozyma,Meyerozyma guilliermondii,100,1.22E-155,#F2CECE
ASV_16,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium aurantiogriseum,100,1.59E-159,#8AAFAF
ASV_17,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida metapsilosis,100,5.45E-149,#F2CECE
ASV_19,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida tropicalis,100,5.14E-139,#F0C3C3
ASV_20,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium citreonigrum,100,2.05E-158,#BDE1E1
ASV_21,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Tausonia,Tausonia pullulans,100,2.51E-147,#C48C66
ASV_22,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,100,0,#756EAC
ASV_23,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,100,8.97E-147,#9D7051
ASV_24,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,99.598,0,#756EAC
ASV_25,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium tenuissimum,100,1.95E-148,#BDE1E1
ASV_26,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Meyerozyma,Meyerozyma caribbica,100,1.22E-155,#C09C9C
ASV_27,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium bialowiezense,100,7.37E-158,#ADDADA
ASV_28,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Trichosporon,Trichosporon asahii,100,1.05E-130,#CFA283
ASV_29,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,100,4.56E-165,#3F8D3D
ASV_30,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida sake,100,2.65E-137,#F2CECE
ASV_31,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces hansenii,100,2.83E-172,#F0C3C3
ASV_32,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia sp,100,6.27E-179,#AC6D6D
ASV_33,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida orthopsilosis,100,1.44E-139,#F0C3C3
ASV_34,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium roqueforti,100,7.37E-158,#BDE1E1
ASV_35,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida albicans,100,1.44E-139,#F0C3C3
ASV_36,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Phialosimplex,Phialosimplex sclerotialis,99.687,4.61E-165,#ADDADA
ASV_37,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,100,2.54E-109,#756EAC
ASV_38,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium chlamydosporum,100,4.13E-145,#8AAFAF
ASV_39,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,99.798,0,#756EAC
ASV_40,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Cyberlindnera,Cyberlindnera sp,100,4.01E-140,#C09C9C
ASV_41,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,unidentified,unidentified,Malasseziales sp,100,1.95E-148,#C48C66
ASV_42,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,98.545,3.29E-136,#F2CECE
ASV_43,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus chevalieri,100,3.12E-141,#327130
ASV_44,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida orthopsilosis,100,3.12E-141,#F0C3C3
ASV_45,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida sake,100,1.99E-112,#F2CECE
ASV_46,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,100,0,#9D7051
ASV_47,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Cyberlindnera,Cyberlindnera jadinii,100,6.71E-138,#F0C3C3
ASV_48,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,100,9.10E-109,#756EAC
ASV_49,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,100,4.56E-165,#3F8D3D
ASV_50,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces hansenii,100,2.83E-172,#F0C3C3
ASV_51,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudoglaucus,100,3.12E-141,#64A363
ASV_52,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida metapsilosis,97.561,9.17E-137,#F2CECE
ASV_53,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Didymella glomerata,100,5.14E-139,#8AAFAF
ASV_54,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,99.597,0,#756EAC
ASV_55,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia globosa,99.744,0,#8A3030
ASV_56,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,100,7.10E-110,#756EAC
ASV_57,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium langeronii,100,6.99E-148,#BDE1E1
ASV_58,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma victoriae,100,3.03E-136,#C48C66
ASV_59,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi sp,100,3.63E-171,#A6A6A6
ASV_60,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia sp,98.556,9.14E-137,#C09C9C
ASV_61,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia globosa,98.961,0,#8A3030
ASV_62,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,100,5.34E-106,#756EAC
ASV_63,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,100,4.56E-165,#3F8D3D
ASV_64,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,99.797,0,#756EAC
ASV_65,Fungi,Basidiomycota,Wallemiomycetes,Wallemiales,Wallemiaceae,Wallemia,Wallemia mellicola,100,8.72E-142,#9D7051
ASV_66,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,100,2.54E-109,#756EAC
ASV_67,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium floccosum,100,6.99E-148,#ADDADA
ASV_68,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,98.909,7.06E-138,#F2CECE
ASV_69,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula glutinis,100,8.97E-147,#CFA283
ASV_70,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus chevalieri,100,3.12E-141,#327130
ASV_71,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia sp,100,1.04E-176,#AC6D6D
ASV_72,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,100,8.97E-147,#9D7051
ASV_73,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium commune,100,5.71E-159,#8AAFAF
ASV_74,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,100,8.97E-147,#9D7051
ASV_75,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sydowii,100,1.95E-148,#3F8D3D
ASV_76,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,98.551,9.14E-137,#F2CECE
ASV_77,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida sake,99.623,1.23E-135,#F2CECE
ASV_78,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia furfur,100,8.07E-178,#602121
ASV_79,Fungi,Basidiomycota,Wallemiomycetes,Wallemiales,Wallemiaceae,Wallemia,Wallemia sp,100,2.43E-142,#9D7051
ASV_80,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium floccosum,100,6.99E-148,#ADDADA
ASV_81,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Botrytis cinerea,100,1.90E-143,#ADDADA
ASV_82,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia sp,98.917,1.96E-138,#C09C9C
ASV_83,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium citrinum,100,1.44E-139,#8AAFAF
ASV_84,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora,Clavispora lusitaniae,100,1.07E-121,#F2CECE
ASV_85,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium fusidioides,100,1.35E-129,#BDE1E1
ASV_86,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora,Clavispora lusitaniae,100,1.07E-121,#F2CECE
ASV_87,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Epicoccum,Epicoccum nigrum,100,3.12E-141,#ADDADA
ASV_88,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia sp,100,6.27E-179,#AC6D6D
ASV_89,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida tropicalis,99.627,2.39E-137,#F0C3C3
ASV_90,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Bettsia,Bettsia alvei,100,2.62E-127,#8AAFAF
ASV_91,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium ramotenellum,100,2.51E-147,#BDE1E1
ASV_92,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Dipodascus,Dipodascus geotrichum,98.712,4.56E-114,#F0C3C3
ASV_93,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,unidentified,Dipodascaceae sp,98.734,2.80E-116,#C09C9C
ASV_94,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,unidentified,Dipodascaceae sp,98.712,4.56E-114,#C09C9C
ASV_95,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus penicillioides,100,1.67E-169,#327130
ASV_96,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta,Ascochyta skagwayensis,100,4.01E-140,#8AAFAF
ASV_97,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata,100,2.01E-153,#BDE1E1
ASV_98,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus flavus,100,7.52E-163,#64A363
ASV_99,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida sake,100,2.65E-137,#F2CECE
ASV_100,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,98.545,3.29E-136,#F2CECE
ASV_103,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,99.596,0,#756EAC
ASV_104,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Yamadazyma,Yamadazyma triangularis,100,1.71E-174,#F2CECE
ASV_105,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,100,3.26E-108,#756EAC
ASV_106,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium rubens,100,5.71E-159,#8AAFAF
ASV_107,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium roqueforti,100,7.37E-158,#BDE1E1
ASV_108,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala dermatitidis,100,6.14E-174,#BDE1E1
ASV_109,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida dubliniensis,100,5.14E-139,#C09C9C
ASV_110,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,100,9.10E-109,#756EAC
ASV_111,Fungi,Ascomycota,Dothideomycetes,Capnodiales,unidentified,unidentified,Capnodiales sp,99.639,2.46E-142,#ADDADA
ASV_112,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,98.545,3.29E-136,#F2CECE
ASV_113,Fungi,Basidiomycota,Wallemiomycetes,Wallemiales,Wallemiaceae,Wallemia,Wallemia sp,99.635,1.13E-140,#9D7051
ASV_114,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora,Clavispora lusitaniae,99.552,3.01E-112,#F2CECE
ASV_115,Fungi,Basidiomycota,Wallemiomycetes,Wallemiales,Wallemiaceae,Wallemia,Wallemia mellicola,99.634,4.06E-140,#9D7051
ASV_116,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora,Clavispora lusitaniae,99.552,3.01E-112,#F2CECE
ASV_117,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida sake,100,9.53E-137,#F2CECE
ASV_118,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia globosa,100,0,#8A3030
ASV_119,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,100,0,#756EAC
ASV_120,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida sake,100,7.37E-138,#F2CECE
ASV_121,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,100,0,#9D7051
ASV_122,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia sp,99.708,2.27E-178,#AC6D6D
ASV_123,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula dairenensis,100,8.97E-147,#CFA283
ASV_124,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus nidulans,100,2.51E-147,#3F8D3D
ASV_125,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota sp,98.805,1.69E-124,#C5C5C5
ASV_126,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia sp,98.556,9.14E-137,#C09C9C
ASV_127,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,98.545,3.29E-136,#F2CECE
ASV_128,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida albicans,100,5.14E-139,#F0C3C3
ASV_129,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,100,3.26E-108,#756EAC
ASV_130,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,98.556,2.54E-137,#F2CECE
ASV_131,Fungi,Basidiomycota,Agaricostilbomycetes,unidentified,unidentified,unidentified,Agaricostilbomycetes sp,87.156,5.07E-95,#C48C66
ASV_132,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,98.545,3.29E-136,#F2CECE
ASV_133,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,99.593,0,#756EAC
ASV_134,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Epicoccum,Epicoccum nigrum,100,3.12E-141,#ADDADA
ASV_135,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor circinelloides,100,2.89E-177,#A6A6A6
ASV_136,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Dipodascus,Dipodascus geotrichum,98.734,2.78E-116,#F0C3C3
ASV_137,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Cutaneotrichosporon,Cutaneotrichosporon dermatis,98.893,4.02E-135,#9D7051
ASV_138,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Cryptococcus,Cryptococcus uniguttulatus,100,1.09E-135,#CFA283
ASV_139,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora,Clavispora lusitaniae,100,6.46E-114,#F2CECE
ASV_140,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia restricta,100,0,#AC6D6D
ASV_141,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,100,5.34E-106,#756EAC
ASV_142,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,98.545,3.29E-136,#F2CECE
ASV_143,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida sake,99.624,3.43E-136,#F2CECE
ASV_144,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Meyerozyma,Meyerozyma carpophila,100,1.22E-155,#F0C3C3
ASV_145,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora,Clavispora lusitaniae,100,6.46E-114,#F2CECE
ASV_146,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,100,7.10E-110,#756EAC
ASV_147,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Trichosporon,Trichosporon sp,99.24,6.56E-133,#9D7051
ASV_148,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,98.545,3.29E-136,#F2CECE
ASV_149,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Cyberlindnera,Cyberlindnera jadinii,100,6.71E-138,#F0C3C3
ASV_150,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida tropicalis,100,5.14E-139,#F0C3C3
ASV_151,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,100,5.34E-106,#756EAC
ASV_152,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora,Clavispora lusitaniae,99.578,4.96E-120,#F2CECE
ASV_153,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida sake,99.621,4.43E-135,#F2CECE
ASV_154,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida sake,99.623,1.23E-135,#F2CECE
ASV_155,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia sp,100,6.27E-179,#AC6D6D
ASV_156,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,100,0,#756EAC
ASV_157,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora,Clavispora lusitaniae,100,2.96E-122,#F2CECE
ASV_158,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia sp,100,1.04E-176,#AC6D6D
ASV_159,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia globosa,99.738,0,#8A3030
ASV_160,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium magnum,100,1.84E-138,#CFA283
ASV_161,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Tremella,Tremella griseola,86.641,9.00E-72,#C48C66
ASV_162,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudopithomyces,Pseudopithomyces chartarum,100,1.36E-180,#BDE1E1
ASV_163,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora,Clavispora lusitaniae,100,2.96E-122,#F2CECE
ASV_164,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,100,7.10E-110,#756EAC
ASV_165,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia sp,98.556,9.14E-137,#C09C9C
ASV_166,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Meruliopsis,Meruliopsis sp,99.371,2.14E-163,#9D7051
ASV_167,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Cystofilobasidiaceae,Cystofilobasidium,Cystofilobasidium macerans,99.636,3.16E-141,#CFA283
ASV_168,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora,Clavispora lusitaniae,99.578,4.96E-120,#F2CECE
ASV_169,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus tritici,100,2.70E-162,#327130
ASV_170,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,98.551,9.14E-137,#F2CECE
ASV_171,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,100,1.49E-106,#756EAC
ASV_172,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Moesziomyces,Moesziomyces aphidis,100,0,#C48C66
ASV_173,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Wickerhamomyces,Wickerhamomyces anomalus,100,5.86E-164,#C09C9C
ASV_174,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,100,0,#756EAC
ASV_175,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia restricta,100,0,#AC6D6D
ASV_176,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,98.917,5.46E-139,#F2CECE
