ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,pident,evalue,HexColor
ASV_4583,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,98.545,3.29E-136,#F2CECE
ASV_4584,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Phialosimplex,Phialosimplex sclerotialis,99.373,2.14E-163,#ADDADA
ASV_4585,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium aggregatocicatricatum,100,5.45E-149,#BDE1E1
ASV_4586,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora,Clavispora lusitaniae,97.521,6.46E-114,#F2CECE
ASV_4587,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida albicans,99.257,3.11E-136,#F0C3C3
ASV_4588,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikowia,Metschnikowia bicuspidata,95.516,1.40E-95,#C09C9C
ASV_4589,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,100,1.37E-132,#9D7051
ASV_4590,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida albicans,99.627,2.39E-137,#F0C3C3
ASV_4591,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida sake,96.992,5.80E-124,#F2CECE
ASV_4592,Fungi,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,Taphrina sp,98.693,7.50E-153,#A6A6A6
ASV_4593,Fungi,Basidiomycota,Moniliellomycetes,Moniliellales,Moniliellaceae,Moniliella,Moniliella spathulata,97.083,1.29E-110,#CFA283
